Donor,Organ,Subset ,cell number,gs.id,pool.info,concentration,remarks
DYN013,BM,CD4 CD69- (rep),200000,107420-001-082,Pool 2 Sample 29,7.864857,DYN013 BM CD4CD69-
DYN 014,Blood,CD4 CM,200000,107420-001-083,Pool 2 Sample 30,1.971684,DYN 014 Blood CD4CM
DYN 014,Blood,CD4 EM+EMRA (rep),200000,107420-001-084,Pool 2 Sample 31,12.897027,DYN 014 Blood CD4EM+EMRA
DYN 014,Blood,CD8 EMRA,200000,107420-001-085,Pool 2 Sample 32,5.398965,DYN 014 Blood CD8EMRA
DYN 014,Blood,CD4 CM (rep),200000,107420-001-086,Pool 2 Sample 33,21.63447,DYN 014 Blood CD4CM
DYN 014,Blood,CD8 EM+CM (rep),200000,107420-001-087,Pool 2 Sample 34,7.673094,DYN 014 Blood CD8EM+CM
DYN 014,Blood,CD8 EMRA (rep),200000,107420-001-088,Pool 2 Sample 35,25.792767,DYN 014 Blood CD8EMRA
DYN 014,BM,CD4 CD69+,200000,107420-001-089,Pool 2 Sample 36,3.2175,DYN 014 BM CD4CD69+
DYN 014,BM,CD8 CD69- (rep),200000,107420-001-090,Pool 2 Sample 37,16.577847,DYN 014 BM CD8CD69-
DYN 014,BM,CD8 CD69+ (rep),200000,107420-001-091,Pool 2 Sample 38,2.52252,DYN 014 BM CD8CD69+
DYN013,Blood,CD4 Treg Naïve,200000,107420-001-092,Pool 3 sample 1,12.833964,DYN013 Blood CD4Treg Naïve
DYN013,Blood,CD4 Treg Memory,200000,107420-001-093,Pool 3 sample 2,0.915057,DYN013 Blood CD4Treg Memory
DYN013,Blood,CD4 Treg Naïve (rep),42000,107420-001-094,Pool 3 sample 3,0.685971,DYN013 Blood CD4Treg Naïve
DYN013,Blood,CD4 Treg Memory (rep),200000,107420-001-095,Pool 3 sample 4,12.999987,DYN013 Blood CD4Treg Memory
DYN013,BM,CD4 Treg Naïve,51000,107420-001-096,Pool 3 sample 5,14.024439,DYN013 BM CD4Treg Naïve 
DYN013,BM,CD4 Treg Memory,49000,107420-001-097,Pool 3 sample 6,10.453014,DYN013 BM CD4Treg Memory
DYN 014,Blood,CD4 Treg Naïve,104000,107420-001-098,Pool 3 sample 7,3.974256,DYN 014 Blood CD4Treg Naïve
DYN 014,Blood,CD4 Treg Memory,200000,107420-001-099,Pool 3 sample 8,2.102958,DYN 014 Blood CD4Treg Memory
DYN 014,Blood,CD4 Treg Memory (rep),200000,107420-001-100,Pool 3 sample 9,1.743885,DYN 014 Blood CD4Treg Memory
DYN 014,BM,CD4 Treg Naïve,17000,107420-001-101,Pool 3 sample 10,5.70141,DYN 014 BM CD4Treg Naïve
DYN 014,BM,CD4 Treg Memory,85000,107420-001-102,Pool 3 sample 11,5.850702,DYN 014 BM CD4Treg Memory
